paper_table,track,task,dataset,dataset_meaning,team,entry_type,metric,direction,score,source_url
Table 2,A,2,ukr-rest,Ukrainian Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.4220,https://arxiv.org/abs/2604.07066
Table 2,A,2,ukr-rest,Ukrainian Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.3099,https://arxiv.org/abs/2604.07066
Table 2,A,2,zho-lap,Chinese Laptop,PALI,team,cF1,higher,0.5308,https://arxiv.org/abs/2604.07066
Table 2,A,2,zho-lap,Chinese Laptop,PAI,team,cF1,higher,0.5306,https://arxiv.org/abs/2604.07066
Table 2,A,2,zho-lap,Chinese Laptop,Baseline (Kimi-K2),baseline,cF1,higher,0.2494,https://arxiv.org/abs/2604.07066
Table 2,A,2,zho-lap,Chinese Laptop,Baseline (Qwen3-14B),baseline,cF1,higher,0.2099,https://arxiv.org/abs/2604.07066
Table 2,A,2,zho-rest,Chinese Restaurant,PAI,team,cF1,higher,0.5638,https://arxiv.org/abs/2604.07066
Table 2,A,2,zho-rest,Chinese Restaurant,PALI,team,cF1,higher,0.5634,https://arxiv.org/abs/2604.07066
Table 2,A,2,zho-rest,Chinese Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.3529,https://arxiv.org/abs/2604.07066
Table 2,A,2,zho-rest,Chinese Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.2509,https://arxiv.org/abs/2604.07066
Table 2,A,3,eng-rest,English Restaurant,Takoyaki,team,cF1,higher,0.6514,https://arxiv.org/abs/2604.07066
Table 2,A,3,eng-rest,English Restaurant,nchellwig,team,cF1,higher,0.6403,https://arxiv.org/abs/2604.07066
Table 2,A,3,eng-rest,English Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.3746,https://arxiv.org/abs/2604.07066
Table 2,A,3,eng-rest,English Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.2673,https://arxiv.org/abs/2604.07066
Table 2,A,3,eng-lap,English Laptop,Takoyaki,team,cF1,higher,0.4227,https://arxiv.org/abs/2604.07066
Table 2,A,3,eng-lap,English Laptop,nchellwig,team,cF1,higher,0.4006,https://arxiv.org/abs/2604.07066
Table 2,A,3,eng-lap,English Laptop,Baseline (Kimi-K2),baseline,cF1,higher,0.2795,https://arxiv.org/abs/2604.07066
Table 2,A,3,eng-lap,English Laptop,Baseline (Qwen3-14B),baseline,cF1,higher,0.1529,https://arxiv.org/abs/2604.07066
Table 2,A,3,jpn-hot,Japanese Hotel,PALI,team,cF1,higher,0.4252,https://arxiv.org/abs/2604.07066
Table 2,A,3,jpn-hot,Japanese Hotel,Takoyaki,team,cF1,higher,0.4086,https://arxiv.org/abs/2604.07066
Table 2,A,3,jpn-hot,Japanese Hotel,Baseline (Kimi-K2),baseline,cF1,higher,0.1943,https://arxiv.org/abs/2604.07066
Table 2,A,3,jpn-hot,Japanese Hotel,Baseline (Qwen3-14B),baseline,cF1,higher,0.0400,https://arxiv.org/abs/2604.07066
Table 2,A,3,rus-rest,Russian Restaurant,PAI,team,cF1,higher,0.5599,https://arxiv.org/abs/2604.07066
Table 2,A,3,rus-rest,Russian Restaurant,PALI,team,cF1,higher,0.5496,https://arxiv.org/abs/2604.07066
Table 2,A,3,rus-rest,Russian Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.2963,https://arxiv.org/abs/2604.07066
Table 2,A,3,rus-rest,Russian Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.1682,https://arxiv.org/abs/2604.07066
Table 2,A,3,tat-rest,Tatar Restaurant,Takoyaki,team,cF1,higher,0.4736,https://arxiv.org/abs/2604.07066
Table 2,A,3,tat-rest,Tatar Restaurant,nchellwig,team,cF1,higher,0.4557,https://arxiv.org/abs/2604.07066
Table 2,A,3,tat-rest,Tatar Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.2380,https://arxiv.org/abs/2604.07066
Table 2,A,3,tat-rest,Tatar Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.0954,https://arxiv.org/abs/2604.07066
Table 2,A,3,ukr-rest,Ukrainian Restaurant,PAI,team,cF1,higher,0.5437,https://arxiv.org/abs/2604.07066
Table 2,A,3,ukr-rest,Ukrainian Restaurant,PALI,team,cF1,higher,0.5307,https://arxiv.org/abs/2604.07066
Table 2,A,3,ukr-rest,Ukrainian Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.2971,https://arxiv.org/abs/2604.07066
Table 2,A,3,ukr-rest,Ukrainian Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.1641,https://arxiv.org/abs/2604.07066
Table 2,A,3,zho-lap,Chinese Laptop,NYCU Speech Lab,team,cF1,higher,0.4824,https://arxiv.org/abs/2604.07066
Table 2,A,3,zho-lap,Chinese Laptop,PALI,team,cF1,higher,0.4319,https://arxiv.org/abs/2604.07066
Table 2,A,3,zho-lap,Chinese Laptop,Baseline (Kimi-K2),baseline,cF1,higher,0.1900,https://arxiv.org/abs/2604.07066
Table 2,A,3,zho-lap,Chinese Laptop,Baseline (Qwen3-14B),baseline,cF1,higher,0.1124,https://arxiv.org/abs/2604.07066
Table 2,A,3,zho-rest,Chinese Restaurant,NYCU Speech Lab,team,cF1,higher,0.5521,https://arxiv.org/abs/2604.07066
Table 2,A,3,zho-rest,Chinese Restaurant,PAI,team,cF1,higher,0.5360,https://arxiv.org/abs/2604.07066
Table 2,A,3,zho-rest,Chinese Restaurant,Baseline (Kimi-K2),baseline,cF1,higher,0.2859,https://arxiv.org/abs/2604.07066
Table 2,A,3,zho-rest,Chinese Restaurant,Baseline (Qwen3-14B),baseline,cF1,higher,0.1605,https://arxiv.org/abs/2604.07066
